regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,full,s100,0.0,0.0,0.348,0.294,0.358,0.746979709135406
lodo,Finance,full,s100,0.1,0.0512,0.3412,0.3196,0.3392,0.748811047382436
lodo,Finance,full,s100,0.2,0.1024,0.3344,0.3452,0.3204,0.7498455487069675
lodo,Finance,full,s100,0.3,0.1536,0.3276,0.3708,0.3016,0.7501404326797169
lodo,Finance,full,s100,0.4,0.2048,0.3208,0.3964,0.2828,0.7497264695505176
lodo,Finance,full,s100,0.5,0.256,0.314,0.422,0.264,0.7486107244839952
lodo,Finance,full,s100,0.6,0.3072,0.3072,0.4476,0.2452,0.7467772181714653
lodo,Finance,full,s100,0.7,0.3584,0.3004,0.4732,0.2264,0.7441856084312856
lodo,Finance,full,s100,0.8,0.4096,0.2936,0.4988,0.2076,0.7407676722824391
lodo,Finance,full,s100,0.9,0.4608,0.2868,0.5244,0.1888,0.7364209820524926
lodo,Finance,full,s100,1.0,0.512,0.28,0.55,0.17,0.7309986087368818
lodo,Finance,full,s13,0.0,0.0,0.348,0.294,0.358,0.7572560844294672
lodo,Finance,full,s13,0.1,0.0512,0.3412,0.3196,0.3392,0.7604903381849923
lodo,Finance,full,s13,0.2,0.1024,0.3344,0.3452,0.3204,0.7630158569988552
lodo,Finance,full,s13,0.3,0.1536,0.3276,0.3708,0.3016,0.7649080219674526
lodo,Finance,full,s13,0.4,0.2048,0.3208,0.3964,0.2828,0.7662176673721323
lodo,Finance,full,s13,0.5,0.256,0.314,0.422,0.264,0.766974571749488
lodo,Finance,full,s13,0.6,0.3072,0.3072,0.4476,0.2452,0.767188939873768
lodo,Finance,full,s13,0.7,0.3584,0.3004,0.4732,0.2264,0.7668510098165995
lodo,Finance,full,s13,0.8,0.4096,0.2936,0.4988,0.2076,0.7659285665252152
lodo,Finance,full,s13,0.9,0.4608,0.2868,0.5244,0.1888,0.7643616929854077
lodo,Finance,full,s13,1.0,0.512,0.28,0.55,0.17,0.7620533717354595
lodo,Finance,full,s21,0.0,0.0,0.348,0.294,0.358,0.739961846413748
lodo,Finance,full,s21,0.1,0.0512,0.3412,0.3196,0.3392,0.7409635575290121
lodo,Finance,full,s21,0.2,0.1024,0.3344,0.3452,0.3204,0.7411887864727268
lodo,Finance,full,s21,0.3,0.1536,0.3276,0.3708,0.3016,0.7406877150962149
lodo,Finance,full,s21,0.4,0.2048,0.3208,0.3964,0.2828,0.739484374952457
lodo,Finance,full,s21,0.5,0.256,0.314,0.422,0.264,0.7375793970366953
lodo,Finance,full,s21,0.6,0.3072,0.3072,0.4476,0.2452,0.7349506813761318
lodo,Finance,full,s21,0.7,0.3584,0.3004,0.4732,0.2264,0.73155213823639
lodo,Finance,full,s21,0.8,0.4096,0.2936,0.4988,0.2076,0.7273103394855399
lodo,Finance,full,s21,0.9,0.4608,0.2868,0.5244,0.1888,0.7221185689604707
lodo,Finance,full,s21,1.0,0.512,0.28,0.55,0.17,0.7158272774271639
lodo,Finance,full,s42,0.0,0.0,0.348,0.294,0.358,0.727028058499192
lodo,Finance,full,s42,0.1,0.0512,0.3412,0.3196,0.3392,0.7298177316262112
lodo,Finance,full,s42,0.2,0.1024,0.3344,0.3452,0.3204,0.7317670165993286
lodo,Finance,full,s42,0.3,0.1536,0.3276,0.3708,0.3016,0.7329376025743691
lodo,Finance,full,s42,0.4,0.2048,0.3208,0.3964,0.2828,0.733365683422594
lodo,Finance,full,s42,0.5,0.256,0.314,0.422,0.264,0.7330643562856644
lodo,Finance,full,s42,0.6,0.3072,0.3072,0.4476,0.2452,0.7320241465232936
lodo,Finance,full,s42,0.7,0.3584,0.3004,0.4732,0.2264,0.7302116912559701
lodo,Finance,full,s42,0.8,0.4096,0.2936,0.4988,0.2076,0.7275663240245418
lodo,Finance,full,s42,0.9,0.4608,0.2868,0.5244,0.1888,0.7239939380536956
