system,Tech,Tech_std,Finance,Finance_std,Social,Social_std,Retail,Retail_std,Public,Public_std,avg_unweighted,n_runs
xlmr_ft,0.7112470645032305,0.004922147328407845,0.7801781245708181,0.01361668318873206,0.6933272387505662,0.009266795572263554,0.6805007417639528,0.011061213061656376,0.7540126117565686,0.012565402070801372,0.7238531562690274,25
allma_ft,0.7207727607925042,0.010469893104677106,0.7366216272572185,0.012421410652856088,0.6685318376339806,0.012623572861371595,0.6950888956383982,0.0025298795903948377,0.7557443046688629,0.012209987980415497,0.7153518851981929,15
mdeberta_ft,0.7482613610708784,0.003755597697955727,0.7836197785357069,0.011336631226747901,0.7097368389903354,0.00324763026376902,0.6887095215801109,0.03405221125742567,0.7650927374544275,0.005201290548910645,0.7390840475262918,15
xlmr_dapt,0.7323228442132641,0.006558173741681847,0.7868297910638402,0.00769839213001765,0.7046829470104742,0.006631463851798284,0.686787267104211,0.014112606074622707,0.7559477685179932,0.0025007152649388627,0.7333141235819565,15
xlmr_dann,0.7118245553405259,0.002218227563222511,0.7777452022348467,0.008650430116494382,0.6867119280301269,0.00868374240849259,0.6716002221621312,0.007566992096097978,0.7426063328690514,0.002077252981409083,0.7180976481273363,15
xlmr_film,0.7184960007891666,0.007082256216534417,0.7701727436909839,0.012521854174605879,0.7016609013956924,0.0017912199832357937,0.679030139980816,0.01544725507541852,0.7597335170531206,0.00486390778498943,0.7258186605819559,15
xlmr_dapt_film,0.724183876744276,0.0045117687566824235,0.7871460173802464,0.005787927062894022,0.6937670407427056,0.006964972243594186,0.7068016276612471,0.008714914029629794,0.7459962357670492,0.00826396439188968,0.7315789596591048,15
full,0.7202021782501264,0.0068041004320176105,0.7516468846054849,0.014108977368302415,0.6972419465852908,0.00786569698447898,0.6877876388176976,0.020029721904860194,0.7381691055038411,0.01346904004527011,0.7190095507524882,25
mdeberta_dapt,0.7322667920964475,0.006298581214714144,0.7756640980718507,0.0146673753131635,0.7233306555638731,0.010912348088488214,0.6900224866088592,0.018463949803078326,0.749254534105944,0.019107923521809747,0.734107713289395,25
mbert_ft,0.6787344302906025,0.011031206639322952,0.7301825544452187,0.012087047667851016,0.6080532477839388,0.011535369143925925,0.6644366879663214,0.0015091013121870246,0.6595723404108004,0.013867467496788823,0.6681958521793764,15
full_midinject,0.7191761635784892,0.007193030636448424,0.7672081920833118,0.005443469762835061,0.6908121276238279,0.016082497769704756,0.6807706688659502,0.0077827689748045424,0.7524721276761499,0.016330509962429858,0.7220878559655457,25
full_mdeberta,0.7235411530747813,0.006723565622730494,0.7661560127614363,0.0031865990243679343,0.7071699572344659,0.012918841662899562,0.691504064727563,0.014600023975014828,0.7404277815165812,0.014616596325009584,0.7257597938629655,25
full_mbert,0.6921057347418341,0.008496587885674253,0.7310995401023707,0.01254834396241159,0.644231379016284,0.01734674720496213,0.6430429197531026,0.012309422851527602,0.7140128610951602,0.015706787020200588,0.6848984869417503,25
xlmr_dapt_supcon,0.7173654705576392,0.0014856458172555376,0.7670058818522607,0.002630210720187577,0.6995573192541137,0.01293164603960281,0.6911068369791421,0.023329571499185308,0.7468382558612504,0.008199306463864093,0.7243747529008812,15
xlmr_film_supcon,0.6960431774363522,0.0012993743826001595,0.773667452975619,0.005076518227715866,0.6924183710341882,0.005698227157932968,0.669925507152208,0.0169448937818064,0.7575993829307485,0.011916322481638139,0.7179307783058231,15
xlmr_supcon,0.7020645721493366,0.00363173446549958,0.7652368513922697,0.014261590610345475,0.6836970229396439,0.008062125589767889,0.656990799635252,0.013858341651149622,0.7308690333435457,0.03976546176770759,0.7077716558920096,25
